id	sor_szam	szoveg	megjegyzes
TEREMT-001	100	| Jón 2:6 | "a mélység körülvett engem" — Jónás imája a hal gyomrában, legszorosabb párhuzam a Zsolt 71:20/107:26 verspárral | Remez |	
TEREMT-001	108	*(a korábbi `Tehom_Abusszosz_Hadesz_Tartarosz_tematikus.md`-ből beolvasztva és a helyi TAGNT-kivonat G0012 teljes scanjével 2026.09.10-én megerősítve — 9 előfordulás, teljes egyezés, nincs új)*	
TEREMT-001	162	- [x] **Q2. Négyforrásos audit nyoma dokumentált** — 🔬 Valódi lexikai kutatás elvégezve 2026.09.10-én, helyi `TAHOT_kivonat.tsv`/`TAGNT_kivonat.tsv` közvetlen lekérdezésével: H8415 (תְּהוֹם) teljes ÓSZ-scan — 35 szóelőfo...	
ALVIL-001	8	*v2 — 2026.09.10 — valódi lexikai kutatás a helyi `TAHOT_kivonat.tsv` és `TAGNT_kivonat.tsv` alapján: az ÚSZ-oldal (G0086, javított Strong-szám) teljes egyezéssel megerősítve, új nem került elő; az ÓSZ-oldal (H7585, שְׁא...	
ALVIL-001	14	1. **`PaRDeS_motivumok.md`** — `[ID: ALVIL-001]` bejegyzés ellenőrizve; a fájl-kiszervezéssel egyidejűleg a bejegyzés 4→6 előfordulásra frissül (l. 6. pont és külön napló-Code-prompt).	
ALVIL-001	172	- [x] **Q2. Négyforrásos audit nyoma dokumentált** — 🔬 Valódi lexikai kutatás elvégezve 2026.09.10-én, a helyi `TAHOT_kivonat.tsv`/`TAGNT_kivonat.tsv` közvetlen lekérdezésével: G0086 (ᾅδης, javított Strong-szám) teljes Ú...	
MENNY-001	11	*v4 — 2026.09.10 — valódi lexikai kutatás a helyi `TAHOT_kivonat.tsv` alapján: a בְּנֵי (הָ)אֱלֹהִים pontos szórendi minta (névelős és névelő nélküli forma együtt) teljes ellenőrzése — 5 előfordulás megerősítve (1Móz 6:2...	
MENNY-001	131	- [x] **Q2. Négyforrásos audit nyoma dokumentált** — 🔬 Valódi lexikai kutatás elvégezve 2026.09.10-én, a helyi `TAHOT_kivonat.tsv` közvetlen lekérdezésével: a בְּנֵי (הָ)אֱלֹהִים pontos szórendi minta (H1121, opcionális ...	
MENNY-001	147	**2026.09.10-i, ugyanaznapi második frissítés — valódi lexikai kutatás eredménye:** בְּנֵי (הָ)אֱלֹהִים minta 5 előfordulása megerősítve, új nem került elő; igehely-hivatkozási javítás (4Móz 13:33→13:34, mindhárom előfor...	
ANTROP-001	3	*v3 — 2026.08.22 (ötödik előfordulás felvéve: **1Kor 2:14-15** — a "természet szerinti ember" [ψυχικός] és a "szellemi ember" [πνευματικός] páli megkülönböztetése, melléknévi alakban, elsősorban Drash-szintű megerősítésk...	
ANTROP-001	99	✅ A `PaRDeS_motivumok.md` naplóban a "pneuma/pszükhé megkülönböztetés" motívum ezzel a tanulmánnyal **"lezárt/önállóan feldolgozott témaként"** van megjelölve, 5 előfordulással (1Thessz 5:23, Zsid 4:12, 1Móz 2:7⇒1Kor 15:...	
ANTROP-001	101	**Korrekció:** a `Lezart_tematikus_tanulmanyok_index.md` fájlban 2026.08.21-én egy korábbi frissítés már megelőlegezte az 1Kor 2:14-15 felvételét (4. előfordulásként), de ez a tényleges tanulmányfájlba és a naplóba akkor...	
HODIT-001	13	**Megjegyzés a küszöbről:** a `PaRDeS_motivumok_v34.md` naplóban ez a motívum önmagában még csak **1 előfordulásnál** tart (1Móz 14:5) — a rendes szabály szerint az önálló tematikus feldolgozás a ⭐ 3+ küszöböt **és** fel...	
HODIT-001	69	**Strong-szám szerinti megoszlás:** a két jelentésmező a konkordanciákban is elkülönül — a prózai/óriás-értelem **H7497** alatt fut (25 előfordulás), a költői/halott-árnyak-értelem pedig önálló, külön **H7496** kód alatt...	
HODIT-001	126	- [x] **Q2. Négyforrásos audit nyoma dokumentált** — 🔬 Valódi lexikai kutatás elvégezve 2026.09.10-én, a helyi `TAHOT_kivonat.tsv` közvetlen lekérdezésével (H7497 teljes ÓSZ-scan, 25 előfordulás) és a `Karoli_kereszthiva...	
HAMART-001	34	| אָרַר | *arar* | H0779 | az átok kimondása — a következmény jogi aktusa | 63 szóalak / 52 igehely (ÓSZ) |	
HAMART-001	35	| אֲדָמָה | *adamá* | H0127 | a föld mint a következmény hordozója | 225 szóalak / 211 igehely (ÓSZ) |	
HAMART-001	36	| עִצָּבוֹן | *itzávón* | H6093 | a fáradság/kín, amit az átkozott föld termel | 3 szóalak / 3 igehely (ÓSZ) |	
HAMART-001	37	| חַטָּאת | *chattát* | H2403 | a bűn mint kapuban leselkedő hatalom | 295 szóalak / 271 igehely (ÓSZ) |	
HAMART-001	38	| חָמָס | *chámász* | H2555 | az erőszak, amivel a föld megtelik | 60 szóalak / 59 igehely (ÓSZ) |	
HAMART-001	39	| שָׁחַת | *sáchat* | H7843 | a romlás — és ugyanez az ige az ítéletben | 146 szóalak / 135 igehely (ÓSZ) |	
HAMART-001	40	| ἐπικατάρατος | *epikatáratosz* | G1944 | a LXX átok-szava, Pál idézeteiben | 2 előfordulás / 2 igehely (ÚSZ) |	
HAMART-001	41	| κατάρα | *katara* | G2671 | átok (főnév) | 6 előfordulás / 5 igehely (ÚSZ) |	
HAMART-001	42	| φθορά | *fthorá* | G5356 | romlandóság — a teremtés állapota | 9 előfordulás / 8 igehely (ÚSZ) |	
HAMART-001	43	| διαφθείρω | *diaftheiró* | G1311 | elrontani / elpusztítani — a *sáchat* görög tükre | 6 előfordulás / 5 igehely (ÚSZ) |	
HAMART-001	259	🔍 **STEPBible-ellenőrizve:** H0779, H0127, H6093, H2403, H2555, H7843, H7451, H7043, H4390, H8085 — teljes ószövetségi előfordulás-scan, versen belüli együttállás-vizsgálattal (H4390+H2555 és H8085+H2555 kollokáció); G19...	
